trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour,day,month
2020-06-17 06:59:51,30026790933302,fraud_Thiel PLC,misc_pos,32.91,M,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,1979-09-03,32.34291,-91.255771,0,6,17,6
2019-09-16 17:15:32,180094419304907,fraud_Reichel LLC,personal_care,44.43,F,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,33.488757,-117.752726,0,17,16,9
2020-05-27 14:08:35,3553629419254918,fraud_Gulgowski LLC,home,2.61,F,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1984-09-01,49.253375,-121.99867,0,14,27,5
2020-03-22 22:59:14,6595970453799027,fraud_Jerde-Hermann,travel,7.97,F,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,39.811177,-74.098786,0,22,22,3
2019-10-26 19:37:09,4209696857872688515,fraud_Reilly LLC,home,14.49,F,Galatia,IL,62935,37.8274,-88.6235,1943,"Restaurant manager, fast food",1971-10-19,37.8249,-88.804997,0,19,26,10
2019-06-03 00:28:12,30427035050508,fraud_Terry-Huel,shopping_net,3.51,M,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,1969-11-20,43.256056,-83.529588,0,0,3,6
2020-04-01 18:40:39,4908846471916297,fraud_Cormier LLC,health_fitness,26.15,F,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",1992-07-24,31.31128,-96.574986,0,18,1,4
2020-06-02 14:37:07,6538441737335434,fraud_Kling-Ernser,entertainment,89.57,F,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1997-09-22,40.774537,-80.39269499999999,0,14,2,6
2020-05-26 21:05:10,374497717543058,fraud_Grimes LLC,entertainment,7.53,F,Wilton,ND,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",1948-06-30,47.769857,-101.012898,0,21,26,5
2019-05-25 00:13:25,676372984911,fraud_Prohaska-Murray,gas_transport,68.76,F,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,40.4054,-97.485941,0,0,25,5
2019-06-30 02:20:03,3565414434959494,fraud_Upton PLC,entertainment,9.4,M,Prairie Creek,IN,47869,39.4336,-87.4101,137,Materials engineer,1967-03-12,39.720647,-86.637901,0,2,30,6
2019-07-01 22:42:57,4294930380592,fraud_Gulgowski LLC,home,1.01,F,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1940-08-23,38.256865000000005,-80.39706600000001,0,22,1,7
2019-12-05 20:57:00,4223708906367574214,fraud_Connelly-Carter,home,82.33,M,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,1974-05-30,39.098104,-85.554772,0,20,5,12
2020-03-17 03:43:37,4457732997086323466,"fraud_Reichert, Rowe and Mraz",shopping_net,84.07,M,Fiddletown,CA,95629,38.5234,-120.6763,832,Immigration officer,1987-05-19,38.453375,-120.424712,0,3,17,3
2020-03-01 19:02:17,4328928491302401,"fraud_Bernhard, Grant and Langworth",shopping_pos,63.28,F,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,43.396631,-87.40472700000001,0,19,1,3
2019-03-18 19:47:44,3583635130604947,fraud_Denesik and Sons,shopping_pos,8.39,F,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,39.47115,-75.668913,0,19,18,3
2019-03-30 23:10:38,4900628639996,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,101.65,M,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,1973-09-22,34.633425,-118.143858,0,23,30,3
2019-07-24 20:09:42,345933964507467,fraud_Kassulke PLC,shopping_net,3.5,F,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,1985-03-19,39.257779,-75.356989,0,20,24,7
2019-07-28 12:25:38,4587657402165341815,fraud_Boyer PLC,misc_pos,33.21,F,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,41.547239000000005,-88.234013,0,12,28,7
2019-01-03 00:59:54,4319584480204988982,"fraud_Osinski, Ledner and Leuschke",grocery_pos,159.32,F,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,1960-02-01,37.563318,-82.846111,0,0,3,1
2019-07-28 16:08:23,213161231269724,fraud_Reichert-Weissnat,travel,1.75,F,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,33.608218,-85.654258,0,16,28,7
2020-03-11 19:26:45,3549202406645667,fraud_Runte-Mohr,food_dining,63.63,M,Scarborough,ME,4074,43.5835,-70.3457,18760,Make,1933-04-02,43.264457,-69.578228,0,19,11,3
2020-05-08 20:16:13,4158008602445,fraud_Thiel-Thiel,entertainment,143.37,F,Randolph,MN,55065,44.5274,-93.0196,1201,Barrister,1979-12-27,44.546277,-93.407348,0,20,8,5
2020-05-01 20:47:21,377993105397617,fraud_Yost-Rogahn,personal_care,2.88,M,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,45.742912,-87.272468,0,20,1,5
2019-12-10 10:29:41,4642255475285942,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,50.59,F,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,39.695102,-109.346053,0,10,10,12
2020-02-28 15:19:19,2383461948823908,"fraud_Romaguera, Wehner and Tromp",kids_pets,29.49,M,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,1956-03-02,44.335624,-70.906174,0,15,28,2
2019-12-14 18:49:18,4862293128558,fraud_Gibson-Deckow,entertainment,22.18,F,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,1956-09-15,41.923959,-78.76829000000001,0,18,14,12
2019-08-30 05:53:22,3534330126107879,fraud_Kassulke PLC,shopping_net,76.01,M,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,45.787471,-108.498912,0,5,30,8
2019-12-04 23:21:22,213153151785052,"fraud_Baumbach, Feeney and Morar",shopping_net,3.08,F,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,1997-11-23,44.998006,-90.354933,0,23,4,12
2020-01-27 01:43:07,3520550088202337,fraud_Spinka Inc,grocery_net,16.09,M,Hovland,MN,55606,47.8342,-90.0476,272,Freight forwarder,2001-07-05,46.905709,-89.31140699999999,0,1,27,1
2020-05-25 17:34:42,4181833256558613886,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,4.26,F,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,37.286425,-106.342182,0,17,25,5
2019-05-30 23:56:22,4939976756738216,"fraud_Crist, Jakubowski and Littel",home,70.07,F,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,26.730108,-99.572826,0,23,30,5
2019-07-14 23:56:12,4186530744674,fraud_Botsford and Sons,home,38.75,F,Blackville,SC,29817,33.3645,-81.2718,4913,Technical brewer,1966-11-10,32.54703,-81.285774,0,23,14,7
2019-04-20 06:49:00,180046165512893,fraud_Murray-Smitham,grocery_pos,84.42,F,Stayton,OR,97383,44.8021,-122.7624,9587,"Engineer, biomedical",1968-03-24,45.315031,-123.425854,0,6,20,4
2019-01-29 15:34:08,4990494243023,fraud_Waters-Cruickshank,health_fitness,102.95,M,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,1960-12-13,39.798098,-77.92823800000001,0,15,29,1
2019-10-03 10:24:02,36078114201167,fraud_Pagac LLC,shopping_pos,6.81,M,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,1926-06-26,37.375367,-82.703604,0,10,3,10
2020-02-13 13:45:30,375248307838179,fraud_Connelly PLC,food_dining,25.22,M,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,1967-09-16,38.677789,-80.092608,0,13,13,2
2019-06-26 06:01:40,4958589671582726883,fraud_Jacobi and Sons,shopping_pos,6.34,M,Burke,VA,22015,38.7894,-77.2818,43102,Health visitor,1950-11-27,38.023459,-77.350828,0,6,26,6
2019-05-17 16:31:15,630412733309,fraud_Cormier LLC,health_fitness,34.93,F,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,1964-04-22,46.470586,-88.559404,0,16,17,5
2019-02-21 07:03:56,30328384440870,fraud_Torphy-Goyette,shopping_pos,407.62,F,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954-07-14,39.176781,-94.037359,0,7,21,2
2019-10-05 20:36:22,4836998673805450,fraud_Kovacek Ltd,travel,60.29,F,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,46.540995,-85.263736,0,20,5,10
2020-01-20 09:06:37,4210078554961359092,fraud_Auer-West,shopping_net,2.5,F,Lowell,OR,97452,43.92100000000001,-122.7806,1420,Systems analyst,1965-11-11,43.810997,-123.698567,0,9,20,1
2019-12-21 06:50:11,213102873001603,fraud_Pouros-Haag,shopping_pos,47.84,F,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01,44.515741,-123.592375,0,6,21,12
2019-10-12 02:02:30,3501509250702469,fraud_Hudson-Ratke,grocery_pos,101.58,M,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,26.949634000000003,-81.382162,0,2,12,10
2020-05-16 07:41:45,30263540414123,"fraud_Robel, Cummerata and Prosacco",gas_transport,37.37,M,Hatch,UT,84735,37.7175,-112.4777,258,Geoscientist,1961-11-24,37.327588,-112.615355,0,7,16,5
2019-03-26 23:10:38,2576709887791552,"fraud_Lang, Towne and Schuppe",kids_pets,42.39,M,San Diego,CA,92128,33.0067,-117.069,1241364,Chartered public finance accountant,1959-08-05,33.961032,-116.916105,0,23,26,3
2020-03-02 06:07:07,3564839259330465,fraud_Stracke-Lemke,grocery_pos,132.57,M,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,38.824146,-122.196317,0,6,2,3
2019-12-13 21:21:15,3501509250702469,"fraud_Wuckert, Wintheiser and Friesen",home,85.9,M,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,27.048323,-81.282641,0,21,13,12
2019-04-05 15:11:48,3564182536169293,fraud_Reilly and Sons,health_fitness,13.99,F,Norwich,OH,43767,39.9934,-81.8024,1443,Research scientist (medical),1962-03-04,40.789221000000005,-81.421511,0,15,5,4
2019-12-16 08:46:17,4586810168620942,fraud_Spinka-Welch,grocery_net,29.72,F,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,32.933713,-80.386139,0,8,16,12
2019-07-04 02:15:21,639046421587,fraud_Botsford Ltd,shopping_pos,146.94,M,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1986-06-20,39.66588,-79.929902,0,2,4,7
2019-04-30 02:55:26,6011948324228984,"fraud_Greenholt, Jacobi and Gleason",gas_transport,70.34,F,Paris,MS,38949,34.1992,-89.382,297,"Administrator, local government",1961-12-14,34.232661,-89.16396,0,2,30,4
2019-09-05 02:43:33,30234966027947,fraud_Kunze Inc,grocery_pos,94.05,M,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,43.528824,-88.840554,0,2,5,9
2019-07-04 13:01:04,4981132848794,"fraud_Hartmann, Rowe and Hermann",travel,1.62,M,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,1946-04-03,39.07205,-81.112646,0,13,4,7
2019-09-11 08:24:57,4670613943676271,fraud_Jacobi and Sons,shopping_pos,307.04,F,Cuthbert,GA,39840,31.7706,-84.7936,5726,Fitness centre manager,1947-08-14,31.211920000000003,-84.50271,0,8,11,9
2020-03-31 09:26:38,501831082224,fraud_Terry-Huel,shopping_net,15.0,M,West Decatur,PA,16878,40.9493,-78.3129,1762,Armed forces logistics/support/administrative officer,1962-05-04,40.671458,-79.01344300000001,0,9,31,3
2019-09-18 13:24:54,4169759661243568,"fraud_Langosh, Wintheiser and Hyatt",food_dining,1.54,F,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,1972-02-15,39.856782,-76.851386,0,13,18,9
2019-02-12 07:01:08,4191109180926792,fraud_Schamberger-O'Keefe,grocery_pos,195.88,F,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,40.041454,-82.418784,0,7,12,2
2020-03-30 14:15:08,3523898249167098,"fraud_Fadel, Mertz and Rippin",entertainment,156.06,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09,40.715342,-74.705533,0,14,30,3
2020-04-07 16:33:30,6011148190095209,fraud_Rau-Grant,kids_pets,33.39,F,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,38.12448,-123.009224,0,16,7,4
2019-10-06 00:37:35,3583293909206278,"fraud_Lind, Huel and McClure",gas_transport,72.46,F,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",1978-09-30,34.982079,-106.500679,0,0,6,10
2019-07-03 05:51:05,4355790796238264643,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,4.26,M,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,38.989552,-92.110043,0,5,3,7
2019-12-07 17:22:54,4990494243023,fraud_Bednar PLC,kids_pets,14.73,M,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,1960-12-13,39.902247,-79.111653,0,17,7,12
2019-03-05 01:52:19,6011492816282597,fraud_Kutch Group,grocery_net,46.64,M,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,1986-06-11,32.574812,-92.873067,0,1,5,3
2019-11-25 12:55:22,3502088871723054,fraud_Kovacek Ltd,travel,2400.07,M,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,38.260747,-77.25262099999999,0,12,25,11
2020-05-16 12:31:54,4900628639996,fraud_Turner and Sons,shopping_pos,7.0,M,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,1973-09-22,33.619283,-117.338956,0,12,16,5
2019-09-19 03:44:24,30033162392091,fraud_Cormier LLC,shopping_net,94.22,M,Carroll,NE,68723,42.277,-97.1926,566,Metallurgist,1975-01-26,42.068275,-96.456846,0,3,19,9
2019-08-21 03:08:57,30376238035123,fraud_Gislason Group,misc_pos,3.69,F,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1928-10-01,43.197022,-124.339603,0,3,21,8
2019-07-29 21:49:52,583699482621,fraud_Osinski Inc,personal_care,41.26,F,Waupaca,WI,54981,44.3481,-89.1101,15426,"Engineer, civil (contracting)",1936-07-22,43.776785,-89.266796,0,21,29,7
2019-09-11 07:55:08,36078114201167,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,30.78,M,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,1926-06-26,37.98759,-83.884671,0,7,11,9
2020-03-18 22:30:10,4099707841315751,fraud_Upton PLC,entertainment,1.17,M,Ruckersville,VA,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",1975-07-07,38.742833000000005,-78.11616500000001,0,22,18,3
2020-01-08 12:04:14,4653178848915023204,fraud_Waelchi Inc,kids_pets,36.96,M,Glade Spring,VA,24340,36.7779,-81.7676,5657,Clinical psychologist,1987-04-29,37.528541,-81.650788,0,12,8,1
2019-08-14 22:21:10,5152054598359927,"fraud_Swaniawski, Lowe and Robel",shopping_pos,7.57,M,Gretna,LA,70056,29.8872,-90.0331,55581,Biomedical scientist,1972-09-12,30.382228,-89.33218199999999,0,22,14,8
2019-03-23 08:27:32,38052002992326,"fraud_Tillman, Dickinson and Labadie",gas_transport,81.91,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,30.098606,-94.171184,0,8,23,3
2019-07-08 01:38:59,3525590521269779,fraud_Emard Inc,gas_transport,59.74,M,Haw River,NC,27258,36.0424,-79.3242,6006,Paramedic,1984-07-20,36.09211,-79.649292,0,1,8,7
2019-04-01 09:17:52,340953839692349,fraud_Hamill-Daugherty,misc_net,423.1,M,Warren,MI,48088,42.5164,-82.9832,134056,"Doctor, hospital",1980-05-18,41.805016,-83.50439399999999,0,9,1,4
2019-11-23 15:20:14,675945690716,fraud_Eichmann-Russel,misc_pos,175.09,F,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,2000-06-09,41.229263,-81.072847,0,15,23,11
2019-03-04 08:13:33,4651007077623147,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,3.66,F,Ashford,WA,98304,46.7531,-121.9898,759,Video editor,1956-09-14,45.811356,-121.261699,0,8,4,3
2019-12-28 15:00:12,4926376199189801,fraud_Lesch Ltd,shopping_pos,205.68,F,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,1977-06-07,37.094126,-91.468596,0,15,28,12
2020-03-30 11:45:32,3573386445588324,fraud_Huels-Nolan,gas_transport,38.68,F,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,45.572852000000005,-97.554395,0,11,30,3
2019-08-07 23:59:47,372520049757633,fraud_Graham and Sons,health_fitness,31.83,F,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,2000-02-20,48.851446,-93.360738,0,23,7,8
2020-06-18 20:25:52,630424987505,"fraud_Watsica, Haag and Considine",shopping_pos,7.23,F,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1981-08-29,38.75657,-78.71592,0,20,18,6
2020-03-28 12:06:21,376445266762684,"fraud_Rodriguez, Yost and Jenkins",misc_net,2.47,F,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,40.604392,-101.881181,0,12,28,3
2019-09-12 02:57:27,4239552724014407,fraud_Morissette PLC,shopping_pos,38.73,M,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,40.524657,-84.482001,0,2,12,9
2019-01-01 00:39:22,3583793405872580,fraud_Pfeffer LLC,grocery_net,50.82,F,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,1970-09-27,34.852665,-98.90267,0,0,1,1
2020-04-11 21:00:18,6011693194885790,fraud_Lebsack and Sons,misc_net,1.28,F,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",1995-12-04,46.182457,-93.994083,0,21,11,4
2020-06-09 02:28:51,4018105808392773675,"fraud_Bernhard, Grant and Langworth",shopping_pos,126.34,F,Allenhurst,NJ,7711,40.2367,-74.0067,1533,"Administrator, charities/voluntary organisations",1935-04-15,39.503841,-73.49750300000001,0,2,9,6
2019-04-08 15:25:21,4761403817546679245,"fraud_Pouros, Walker and Spencer",kids_pets,6.53,F,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,36.82773,-92.525969,0,15,8,4
2020-04-28 22:49:54,4464457352619,fraud_Fahey Inc,kids_pets,60.2,F,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,1990-01-24,29.496923,-85.21106999999999,0,22,28,4
2020-04-05 22:16:00,571314334723,fraud_Goyette-Gerhold,kids_pets,51.47,F,Mc Clellandtown,PA,15458,39.8882,-79.8694,2379,"Sales professional, IT",1971-01-19,40.506192,-80.600444,0,22,5,4
2019-03-17 14:16:10,180067784565096,fraud_Hoppe-Parisian,kids_pets,8.46,F,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1942-01-06,42.995261,-87.979798,0,14,17,3
2020-06-19 08:05:38,213113028819344,fraud_Kutch and Sons,grocery_pos,95.51,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27,43.433024,-74.830842,0,8,19,6
2019-07-18 14:04:20,4998109455173950,fraud_Gulgowski LLC,home,259.51,F,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,1987-11-18,39.019612,-95.029622,0,14,18,7
2019-06-18 04:56:52,2248348993063230,"fraud_Lind, Huel and McClure",gas_transport,49.11,F,Randolph,OH,44265,41.0109,-81.2977,51,Mechanical engineer,1960-08-05,41.116725,-82.114814,0,4,18,6
2019-12-03 15:30:29,6011542681743618,fraud_Mohr Inc,shopping_pos,2.7,F,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,39.103709,-78.896179,0,15,3,12
2020-03-21 14:00:47,30376238035123,fraud_Block-Hauck,travel,5.39,F,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1928-10-01,43.484955,-124.494524,0,14,21,3
2020-03-04 23:48:53,4586260469584,"fraud_Denesik, Powlowski and Pouros",home,36.95,F,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,40.454911,-95.803119,0,23,4,3
2019-04-17 02:45:53,343472729187663,fraud_Cummerata-Jones,gas_transport,79.62,F,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",1971-08-05,44.67548,-70.767072,0,2,17,4
2020-05-23 14:09:54,36078114201167,"fraud_Ritchie, Bradtke and Stiedemann",travel,7.56,M,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,1926-06-26,36.873801,-82.19357099999999,0,14,23,5
2019-08-26 05:59:00,3526826139003047,fraud_Stoltenberg-Beatty,shopping_pos,4.46,M,Falmouth,MI,49632,44.2529,-85.01700000000001,1126,Furniture designer,1955-07-06,43.981113,-85.27242700000001,0,5,26,8
2019-12-19 11:22:17,376944481517097,fraud_O'Hara-Wilderman,food_dining,135.04,F,Grand Bay,AL,36541,30.4983,-88.3282,15647,"Scientist, physiological",1957-12-26,29.972526,-88.870874,0,11,19,12
2019-11-06 01:49:14,6011367958204270,fraud_Jaskolski-Vandervort,misc_net,29.4,F,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,41.639811,-82.725158,0,1,6,11
2020-03-21 23:39:17,3575789281659026,fraud_Reynolds-Schinner,misc_pos,5.52,F,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,38.790625,-92.931748,0,23,21,3
2020-03-30 10:07:09,6573561108825071,fraud_Rau and Sons,grocery_pos,84.04,F,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,1968-06-18,35.968294,-95.766836,0,10,30,3
2020-02-08 23:43:20,4294040533480516,fraud_Watsica LLC,personal_care,25.9,F,New Ellenton,SC,29809,33.413000000000004,-81.69,2206,Biomedical scientist,1986-12-31,32.837674,-82.419451,0,23,8,2
2019-12-30 04:06:47,4006047418382,fraud_Morissette PLC,shopping_pos,6.89,M,Parkers Lake,KY,42634,36.8347,-84.4436,1565,"Designer, industrial/product",1968-07-24,35.844541,-84.819852,0,4,30,12
2019-08-24 10:08:05,38057513087029,"fraud_Reilly, Heaney and Cole",gas_transport,68.9,F,San Jose,CA,95148,37.3304,-121.7913,973849,Geoscientist,1997-01-18,38.165055,-120.877168,0,10,24,8
2020-05-03 01:07:56,3546674063249004,"fraud_Stroman, Hudson and Erdman",gas_transport,61.12,M,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,1984-07-05,33.212077,-97.365923,0,1,3,5
2019-08-17 03:27:21,6011626928491360,fraud_Beier LLC,entertainment,90.5,F,Bethel Springs,TN,38315,35.2289,-88.64399999999999,3876,Senior tax professional/tax inspector,1960-11-19,35.205847,-88.160572,0,3,17,8
2019-05-19 14:41:49,60422928733,fraud_O'Hara-Wilderman,food_dining,142.58,M,North Augusta,SC,29860,33.6028,-81.9748,46944,Secondary school teacher,1942-04-02,32.859484,-81.56388100000001,0,14,19,5
2019-07-17 14:39:18,375904527651269,fraud_Nader-Maggio,personal_care,60.95,M,Roseland,NE,68973,40.4591,-98.5551,463,"Nurse, mental health",1948-05-31,39.877579,-98.558761,0,14,17,7
