,trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour,no_of_misclass
12524,2019-04-10 21:14:24,213124978348176,fraud_Schoen-Quigley,kids_pets,21.5,M,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04 00:00:00,41.696301,-78.890173,0,21,1
12569,2019-04-11 05:55:12,3598215285024754,fraud_Kutch Group,grocery_net,74.21,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.16823,-73.11784899999999,0,5,1
13268,2019-04-15 20:11:13,5104807169438134,fraud_Greenholt Ltd,health_fitness,53.73,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,40.007683,-71.698087,0,20,1
13389,2019-04-16 23:51:35,36721445180895,"fraud_Crist, Jakubowski and Littel",home,1.3,M,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01 00:00:00,42.9887,-74.894609,0,23,1
13463,2019-04-17 18:30:23,3514897282719543,fraud_Kessler Group,travel,1.62,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,43.595466,-77.684478,0,18,1
13488,2019-04-17 23:32:50,3585052663373890,fraud_Kub-Heaney,health_fitness,107.31,M,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1963-12-28 00:00:00,43.721356,-76.251738,0,23,1
13614,2019-04-18 21:37:59,3533012926413100,fraud_Emmerich-Rau,personal_care,65.74,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01 00:00:00,43.508292,-75.419487,0,21,1
13622,2019-04-18 23:11:59,6592861994408652,fraud_Cormier LLC,shopping_net,3.37,F,Cowlesville,NY,14037,42.8112,-78.4481,1166,Colour technologist,1983-06-12 00:00:00,43.103284,-78.458074,0,23,1
13675,2019-04-19 10:33:50,4736845434667908128,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,6.6,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,44.100338,-74.446209,0,10,1
14080,2019-04-21 15:57:14,180017442990269,fraud_Weimann-Lockman,kids_pets,97.5,F,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01 00:00:00,43.395892,-73.502238,0,15,1
14103,2019-04-21 17:33:06,340951438290556,fraud_Mayert Group,shopping_pos,5.53,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,40.581232,-73.025515,0,17,1
14819,2019-04-27 05:37:22,180017442990269,fraud_Harris Inc,gas_transport,78.19,F,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01 00:00:00,42.82759,-74.3642,0,5,1
14854,2019-04-27 10:46:26,340951438290556,fraud_Smith-Stokes,misc_pos,37.64,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,41.829371,-74.39540600000001,0,10,1
14965,2019-04-27 21:57:16,4740713119940984,fraud_Kautzer and Sons,personal_care,4.24,F,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16 00:00:00,41.144943,-74.470339,0,21,1
15087,2019-04-28 13:00:03,4254074738931278,fraud_Schuppe-Schuppe,food_dining,9.45,M,Allentown,NY,14707,42.0737,-78.0594,239,Radio producer,1956-05-02 00:00:00,41.353576,-78.045446,0,13,1
15232,2019-04-29 04:24:09,3514897282719543,"fraud_Rohan, White and Aufderhar",misc_net,2.85,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,42.22288,-77.904902,0,4,1
15341,2019-04-29 17:55:28,342319985983023,fraud_Jast and Sons,food_dining,62.94,M,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978-05-23 00:00:00,41.910281,-74.860417,0,17,1
15417,2019-04-30 03:29:30,3514897282719543,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,5.58,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,42.869327,-76.938469,0,3,1
15661,2019-05-02 11:44:48,6526777409109795,fraud_Bernhard-Lesch,food_dining,44.19,M,South Richmond Hill,NY,11419,40.6868,-73.82300000000001,47211,Site engineer,1937-02-01 00:00:00,40.141162,-74.074927,0,11,1
15742,2019-05-03 04:47:37,342360239917375,fraud_McDermott-Rice,misc_pos,5.79,F,Howes Cave,NY,12092,42.7045,-74.3648,1304,Jewellery designer,1970-06-09 00:00:00,42.83541,-73.94076899999999,0,4,1
15761,2019-05-03 09:36:27,213161293389774,"fraud_Hagenes, Kohler and Hoppe",food_dining,29.93,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,42.760252,-77.942578,0,9,1
15806,2019-05-03 21:08:53,3567697931646329,fraud_Hoppe-Parisian,kids_pets,7.55,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29 00:00:00,42.727752,-74.44195500000001,0,21,1
15883,2019-05-04 09:21:20,4342532437704183,fraud_Heidenreich PLC,grocery_pos,39.55,M,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16 00:00:00,43.073754,-75.246899,0,9,1
16110,2019-05-05 14:02:23,213113028819344,"fraud_Walter, Hettinger and Kessler",personal_care,17.84,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27 00:00:00,43.427361,-75.889471,0,14,1
16459,2019-05-07 13:27:24,3585052663373890,fraud_Osinski Inc,personal_care,3.86,M,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1963-12-28 00:00:00,42.937123,-76.368099,0,13,1
16952,2019-05-11 09:43:05,639023984367,fraud_Harris Inc,gas_transport,60.85,F,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05 00:00:00,44.444894,-75.374229,0,9,1
16963,2019-05-11 11:47:57,4169388510116,fraud_McDermott-Rice,misc_pos,8.99,F,Port Gibson,NY,14537,43.033,-77.1575,207,Database administrator,1962-09-27 00:00:00,42.450739,-77.934554,0,11,1
16993,2019-05-11 14:50:40,3559160581764413,fraud_Johnston-Casper,travel,474.08,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15 00:00:00,42.014723,-78.423652,0,14,1
17163,2019-05-12 12:51:47,2296006538441789,"fraud_Towne, Greenholt and Koepp",shopping_net,3.37,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01 00:00:00,40.445762,-74.049693,0,12,1
17612,2019-05-15 10:44:21,213113028819344,fraud_Wolf Inc,grocery_pos,66.02,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27 00:00:00,42.507785,-75.723508,0,10,1
17681,2019-05-15 22:02:03,3598215285024754,fraud_Heaney-Marquardt,entertainment,219.42,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,39.966205,-72.71312900000001,0,22,1
17933,2019-05-18 03:40:25,38797410705641,fraud_Barton Inc,grocery_pos,95.41,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,1971-12-12 00:00:00,43.379505,-73.65784000000001,0,3,1
17994,2019-05-18 12:34:22,3567697931646329,fraud_Nolan-Williamson,kids_pets,8.29,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29 00:00:00,41.607727,-73.12031999999999,0,12,1
18005,2019-05-18 13:30:34,3559160581764413,fraud_Morissette-Schaefer,personal_care,74.39,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15 00:00:00,42.243834,-78.669288,0,13,1
18022,2019-05-18 16:03:49,4342532437704183,fraud_Bechtelar-Rippin,food_dining,20.33,M,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16 00:00:00,42.642099,-75.95644200000001,0,16,1
18080,2019-05-18 22:25:27,4740713119940984,fraud_Daugherty-Thompson,food_dining,104.01,F,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16 00:00:00,40.258454,-74.580751,0,22,1
18116,2019-05-19 03:37:34,2288813824604479,fraud_Bednar Group,misc_net,4.93,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,40.708486,-74.743935,0,3,1
18342,2019-05-20 03:11:52,2269768987945882,"fraud_Connelly, Reichert and Fritsch",gas_transport,57.58,F,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1958-10-29 00:00:00,42.467434,-77.389815,0,3,1
18895,2019-05-24 06:04:01,4859525594182537,"fraud_Greenholt, Jacobi and Gleason",gas_transport,64.3,F,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25 00:00:00,41.80372,-75.798688,0,6,1
18943,2019-05-24 16:20:31,3551217896304745,fraud_Kuphal-Toy,food_dining,102.3,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,43.741299,-74.749935,0,16,1
19094,2019-05-25 13:03:39,4904681492230012,"fraud_Wuckert, Wintheiser and Friesen",home,71.05,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,42.77526,-74.534448,0,13,1
19100,2019-05-25 13:35:00,2288813824604479,fraud_Hills-Witting,shopping_net,35.08,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,40.628399,-73.001111,0,13,1
19138,2019-05-25 17:15:38,3561963695236764,fraud_Lynch-Mohr,travel,496.5,M,Shelter Island,NY,11964,41.06399999999999,-72.3366,1858,Clinical biochemist,1984-03-03 00:00:00,41.294466,-71.680389,0,17,1
19177,2019-05-25 20:26:29,3567879740649740,"fraud_Dare, Fritsch and Zboncak",health_fitness,72.5,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,44.064611,-76.659109,0,20,1
19986,2019-05-30 02:34:05,340951438290556,fraud_Runolfsson and Sons,grocery_net,60.69,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,41.63273,-74.217903,0,2,1
20002,2019-05-30 06:13:32,374821819075109,"fraud_Schneider, Hayes and Nikolaus",food_dining,68.71,M,Palmyra,NY,14522,43.0622,-77.2218,9565,Exhibition designer,1927-12-11 00:00:00,42.442855,-77.990634,0,6,1
20244,2019-05-31 21:43:25,502012776709,fraud_Berge-Hills,kids_pets,2.33,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,41.92447,-75.93791800000001,0,21,1
20761,2019-06-03 07:49:59,372382441451095,"fraud_Tillman, Fritsch and Schmitt",misc_net,97.88,M,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966-01-21 00:00:00,41.54044,-74.671587,0,7,1
20787,2019-06-03 10:38:52,4859525594182537,"fraud_Bernier, Streich and Jewess",grocery_net,33.21,F,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25 00:00:00,41.99336,-74.13069899999999,0,10,1
