trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour
2019-07-13 01:03:37,3567879740649740,"fraud_Greenholt, Jacobi and Gleason",gas_transport,50.91,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,44.912066,-75.333768,0,2
2020-05-02 20:49:10,345832460465610,fraud_Langworth LLC,personal_care,7.7,M,Springfield,VA,22151,38.8029,-77.2116,104396,Production engineer,1950-11-20,39.481469,-78.144675,0,21
2019-10-19 15:49:11,4503101193493052864,fraud_Rippin-VonRueden,health_fitness,28.72,F,Lakeland,FL,33811,27.9865,-82.0139,237282,Clothing/textile technologist,1979-07-03,28.404623,-82.998335,0,16
2019-11-25 12:49:56,377993105397617,fraud_Huel-Langworth,misc_net,1034.78,M,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,44.795906,-87.380003,0,13
2019-12-02 16:53:01,213153151785052,fraud_Schmidt and Sons,shopping_net,2.92,F,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,1997-11-23,45.611854,-89.22846700000001,0,17
2019-06-03 18:12:36,3564839259330465,fraud_Gislason Group,travel,1.25,M,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,38.971291,-122.517879,0,19
2020-02-15 15:53:54,30364087349027,fraud_Kassulke Inc,entertainment,95.48,M,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,35.299732,-95.371329,0,16
2020-02-16 10:03:15,4070511711385545,fraud_Huels-Nolan,gas_transport,95.01,F,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",1967-04-09,29.165425,-97.801002,0,11
2019-01-01 03:45:30,5559857416065248,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,511.09,M,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,42.412743,-121.617857,0,4
2019-04-20 17:30:59,4809701904914,fraud_Friesen Ltd,health_fitness,11.27,F,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984-02-07,32.52482,-84.28520999999999,0,18
2020-03-09 09:35:19,343668971234893,"fraud_Bahringer, Osinski and Block",food_dining,15.07,F,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,1949-11-16,34.280661,-81.666772,0,10
2019-04-15 19:35:42,4155021259183870,fraud_Bashirian Group,shopping_net,7.0,F,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),1983-10-12,34.283008,-99.568525,0,20
2019-12-06 17:20:48,4736845434667908128,"fraud_Nicolas, Hills and McGlynn",entertainment,104.74,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23,44.030738,-73.682797,0,18
2019-06-24 21:31:33,4550599031376731,"fraud_O'Connell, Botsford and Hand",home,26.75,F,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,1968-05-29,41.324198,-81.960269,0,22
2020-05-05 02:23:23,580954173374,"fraud_Swaniawski, Lowe and Robel",shopping_pos,7.04,F,Montrose,NY,10548,41.2496,-73.9446,3487,Race relations officer,1960-01-13,41.275272,-74.763413,0,3
2019-12-07 13:37:32,213112402583773,"fraud_Nicolas, Hills and McGlynn",entertainment,38.64,F,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,34.003891,-83.006174,0,14
2019-12-01 04:52:57,4433091568498503,fraud_O'Hara-Wilderman,food_dining,26.89,F,Gaithersburg,MD,20882,39.2335,-77.1458,135332,Clinical biochemist,1936-03-28,38.638156,-77.480532,0,5
2019-10-27 19:12:02,4986925034905735,"fraud_Witting, Beer and Ernser",home,38.77,F,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",1959-06-18,36.745883,-84.28527,0,20
2019-10-19 17:45:13,3556613125071656,"fraud_Wiza, Schaden and Stark",misc_pos,9.0,M,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1999-12-27,29.42028,-96.064372,0,18
2019-03-31 05:34:41,30360260465747,fraud_Pacocha-Bauch,shopping_pos,6.43,F,Putnam,IL,61560,41.1949,-89.4409,754,"Presenter, broadcasting",1962-05-13,41.626886,-88.545208,0,6
2019-01-06 10:30:05,372520049757633,"fraud_Greenholt, Jacobi and Gleason",gas_transport,56.31,F,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,2000-02-20,49.014496,-94.09657,0,11
2020-05-10 18:43:09,180094419304907,fraud_Shanahan-Lehner,personal_care,48.32,F,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,33.183887,-116.243155,0,19
2020-02-18 21:25:41,2252055259910912,fraud_Langworth LLC,personal_care,79.68,M,Hewitt,WI,54441,44.6437,-90.1031,828,Arts development officer,1991-08-19,44.807716,-89.136088,0,22
2020-01-17 09:20:32,4570636521433188,"fraud_Goldner, Kovacek and Abbott",grocery_pos,205.34,F,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,29.761506,-81.876738,0,10
2019-01-04 13:35:57,6011504998544485,fraud_Kuhic LLC,shopping_net,49.37,F,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,1971-11-02,33.319736,-87.803216,0,14
2019-03-22 08:24:38,4482427013979020,fraud_Kassulke PLC,shopping_net,7.98,F,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,1946-08-30,39.362154,-82.176183,0,9
2019-03-24 15:44:15,3560697798177746,fraud_Bode-Schuster,kids_pets,55.64,M,Indian Wells,CA,92210,33.7163,-116.3381,4677,Learning mentor,1955-05-06,33.605984,-115.833555,0,16
2019-05-08 08:04:57,4265776278887457,"fraud_Streich, Hansen and Veum",gas_transport,67.85,F,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,35.749726,-92.103179,0,9
2020-05-02 00:21:17,180094419304907,"fraud_Hayes, Marquardt and Dibbert",misc_net,48.01,F,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,32.867302,-117.226467,0,1
2019-02-18 05:09:06,6540981358631302,fraud_Wisozk and Sons,misc_pos,1.36,M,Detroit,MI,48221,42.426,-83.15,673342,Retail manager,1967-06-19,42.905312,-83.076959,0,6
2019-06-21 18:17:40,6011860238257910,"fraud_Metz, Russel and Metz",kids_pets,34.95,F,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,35.554072999999995,-98.171454,0,19
2019-06-27 14:23:38,3541687240161491,fraud_Swift PLC,kids_pets,224.03,M,Sea Island,GA,31561,31.1989,-81.3322,298,"Engineer, structural",1963-04-22,31.929298,-80.388489,0,15
2019-12-07 08:32:39,2296006538441789,fraud_Doyle Ltd,grocery_pos,56.07,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01,41.144938,-73.695084,0,9
2019-09-07 02:51:20,4355790796238264643,fraud_Koepp-Witting,grocery_pos,157.61,M,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,39.551855,-91.627307,0,3
2019-03-17 22:55:39,4173950183554608,"fraud_Lehner, Reichert and Mills",misc_pos,20.45,M,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,1978-10-05,39.497777,-73.804921,0,23
2019-09-27 20:17:17,4683520018489354,fraud_Pacocha-Bauch,shopping_pos,1161.43,M,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19,34.016558,-117.50993,0,21
2019-01-20 21:56:40,371009169330125,fraud_Flatley Group,misc_pos,67.32,M,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,2003-09-14,30.916867,-84.159623,0,22
2020-04-20 13:01:30,30442439074871,fraud_Kuhic LLC,shopping_net,221.95,F,Jermyn,PA,18433,41.5744,-75.5881,6508,Training and development officer,1981-06-22,40.743443,-75.57334,0,14
2020-01-16 15:54:57,4428154703770710,fraud_Bartoletti and Sons,personal_care,11.56,F,Colton,WA,99113,46.5901,-117.1692,761,Chief Marketing Officer,1943-06-30,46.867205,-117.436605,0,16
2019-04-19 14:52:00,180081032825079,fraud_Tillman LLC,travel,2.21,F,Duncan,MS,38740,34.047,-90.7652,466,Trading standards officer,1955-04-03,34.556678999999995,-90.845663,0,15
2020-05-02 02:13:27,3501509250702469,"fraud_Greenfelder, Bartoletti and Davis",misc_net,5.58,M,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,25.887341,-80.807784,0,3
2019-05-25 20:03:21,3568736585751727,fraud_Collier LLC,home,85.12,M,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1974-03-13,41.013101,-92.947632,0,21
2019-08-17 17:11:06,4956828990005111019,fraud_Waelchi-Wolf,kids_pets,146.29,M,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,40.328609,-73.737892,0,18
2019-12-03 20:08:48,213191402330021,"fraud_Kerluke, Kertzmann and Wiza",misc_net,5.49,M,Milwaukee,WI,53228,42.9676,-88.0434,817312,"Accountant, chartered public finance",2004-03-18,43.525699,-88.67769200000001,0,21
2019-06-10 12:12:29,4550599031376731,fraud_Gaylord-Powlowski,home,9.05,F,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,1968-05-29,40.051606,-82.061776,0,13
2019-12-09 10:58:33,584673555952,fraud_Kilback LLC,grocery_pos,120.95,F,Coleharbor,ND,58531,47.5196,-101.2332,307,Make,1930-08-13,47.7004,-101.981439,0,11
2020-01-19 16:54:58,213112402583773,fraud_Bechtelar-Rippin,food_dining,5.08,F,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,33.294576,-81.53241700000001,0,17
2020-02-05 03:27:29,30074693890476,"fraud_Bernier, Streich and Jewess",grocery_net,53.94,F,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1993-08-16,37.18486,-101.034206,0,4
2019-08-26 21:20:56,374125201044065,fraud_Morissette-Schaefer,personal_care,17.61,M,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",1970-07-20,39.840847,-76.831058,0,22
2019-04-02 13:43:26,6592861994408652,fraud_Hickle Group,shopping_pos,1.08,F,Cowlesville,NY,14037,42.8112,-78.4481,1166,Colour technologist,1983-06-12,43.104929,-78.120265,0,14
2019-11-04 01:43:14,345933964507467,fraud_Brekke and Sons,gas_transport,68.56,F,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,1985-03-19,37.70767,-74.366726,0,2
2019-07-07 07:42:17,630451534402,fraud_Harber Inc,gas_transport,41.03,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,45.805693,-86.11675,0,8
2019-10-25 00:01:41,3534718226968689,fraud_Huels-Hahn,gas_transport,77.96,F,Dongola,IL,62926,37.3712,-89.1349,2263,Scientific laboratory technician,1984-09-13,37.608206,-88.652199,0,1
2019-04-28 17:39:29,213107169859697,fraud_Berge-Hills,kids_pets,23.7,F,Woods Cross,UT,84087,40.8874,-111.9027,13983,Insurance broker,1979-08-14,40.292567,-111.547817,0,18
2020-03-18 14:48:22,6011652924285713,"fraud_Hermiston, Russel and Price",food_dining,5.67,F,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,1988-10-26,37.933302000000005,-91.855548,0,15
2020-06-01 02:48:06,3501942333500073,fraud_Trantow PLC,grocery_net,51.79,F,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1999-11-30,33.73359,-111.411309,0,3
2020-01-13 15:12:39,4198470814557,fraud_Kutch-Wilderman,home,35.95,F,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1971-08-20,41.740919,-96.317236,0,16
2019-08-26 10:29:57,4010002218955876,"fraud_Ferry, Lynch and Kautzer",misc_net,14.05,F,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,1983-08-24,30.688222,-94.890006,0,11
2019-07-04 15:12:12,180065479077096,fraud_Schuppe-Schuppe,food_dining,99.23,F,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,1964-02-15,40.156589,-76.36424699999999,0,16
2019-08-17 15:39:44,4683638447911,fraud_Kozey-Kuhlman,personal_care,71.31,M,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1972-07-01,30.602319,-92.116376,0,16
2019-08-03 02:41:54,639030014711,fraud_Brown PLC,misc_net,83.39,M,Olmsted,IL,62970,37.1935,-89.0933,639,Mechanical engineer,1982-08-01,37.478669,-89.97491600000001,0,3
2020-01-25 07:25:31,4451952084362894,fraud_Bernhard Inc,gas_transport,61.91,M,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,1980-07-30,34.143164,-102.701397,0,8
2019-08-04 13:22:53,3552581383553463,fraud_Berge-Hills,kids_pets,105.41,M,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,36.15198,-84.652636,0,14
2020-06-16 17:37:16,3553629419254918,fraud_Romaguera and Sons,travel,8.45,F,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1984-09-01,47.855498,-123.048151,0,18
2019-12-16 02:41:09,2657850734909997,fraud_Volkman-Predovic,shopping_net,165.87,M,Detroit,MI,48206,42.3749,-83.1087,673342,Trading standards officer,1946-11-01,43.204759,-82.836375,0,3
2019-06-02 14:32:19,2720433095629877,fraud_Fahey Inc,kids_pets,29.72,M,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,44.310382,-69.166336,0,15
2020-01-25 23:14:41,3576021480694169,fraud_Daugherty-Thompson,food_dining,3.27,F,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,2004-12-30,38.823422,-95.588381,0,24
2019-09-23 12:02:00,4040099974063068803,fraud_Zboncak Ltd,food_dining,65.68,M,Palermo,ND,58769,48.3396,-102.24,229,Administrator,1983-03-20,47.490388,-101.431895,0,13
2019-12-04 22:28:07,38052002992326,"fraud_Schneider, Hayes and Nikolaus",food_dining,5.56,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,30.959093,-94.830324,0,23
2019-12-04 21:17:40,3533177016567295,fraud_Reilly LLC,home,30.97,M,Weeping Water,NE,68463,40.8731,-96.1528,1517,Dealer,1951-11-08,40.567596,-96.315273,0,22
2019-08-01 17:41:15,6506116513503136,fraud_Gottlieb-Hansen,personal_care,10.76,F,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1984-05-04,31.336753,-96.09601,0,18
2019-01-08 12:22:20,630451534402,fraud_Gleason-Macejkovic,shopping_net,2.43,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,45.969078,-86.995977,0,13
2020-05-31 18:04:30,30551643947183,fraud_Hirthe-Beier,health_fitness,119.51,F,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,34.672752,-80.86210600000001,0,19
2020-05-23 22:16:35,3582754887089201,fraud_Breitenberg-Hermiston,kids_pets,17.71,M,Norman,AR,71960,34.4596,-93.6743,1383,Magazine features editor,1966-08-08,34.664011,-94.360848,0,23
2019-07-12 11:32:47,3540210836308425,fraud_Spencer-Runolfsson,misc_pos,34.97,M,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,1992-06-19,35.426079,-101.603263,0,12
2019-08-11 18:42:19,2475085306462014,"fraud_Lesch, D'Amore and Brown",food_dining,69.53,M,Lamberton,MN,56152,44.2378,-95.2739,1507,Land/geomatics surveyor,1993-10-12,43.546382,-94.538598,0,19
2020-04-04 14:28:00,6011893664860915,"fraud_Runolfsdottir, Mueller and Hand",entertainment,47.0,F,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,38.779033,-104.507465,0,15
2019-06-07 10:07:38,30044330818990,"fraud_Tillman, Fritsch and Schmitt",misc_net,18.66,F,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,25.889758,-81.96346,0,11
2019-10-05 02:40:11,213156747557083,fraud_Runolfsson and Sons,grocery_net,41.19,M,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,1982-07-30,34.917143,-118.063942,0,3
2019-11-17 13:14:42,4169759661243568,fraud_Spencer-Runolfsson,misc_pos,20.9,F,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,1972-02-15,40.669551,-76.460092,0,14
2020-01-19 15:41:09,373905417449658,"fraud_Mosciski, Ziemann and Farrell",shopping_net,358.79,F,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,1970-11-12,32.121542,-98.441724,0,16
2019-06-10 14:11:47,3595192916105588,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,2.91,M,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,35.858452,-78.77656,0,15
2019-06-27 07:43:07,3577578023716568,fraud_O'Keefe-Hudson,grocery_pos,207.2,F,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",1983-08-25,41.11096,-81.031159,0,8
2019-02-26 16:04:36,4265776278887457,"fraud_Lang, Towne and Schuppe",kids_pets,1.32,F,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,34.243225,-91.780845,0,17
2019-04-21 04:22:30,3582754887089201,fraud_Heller-Langosh,gas_transport,62.18,M,Norman,AR,71960,34.4596,-93.6743,1383,Magazine features editor,1966-08-08,35.123562,-94.166896,0,5
2019-12-06 23:53:25,213180742685905,"fraud_Kling, Howe and Schneider",home,72.04,F,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,40.836995,-124.395218,0,24
2019-05-25 13:00:28,3541160328600277,fraud_Ratke and Sons,health_fitness,22.6,M,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,2003-05-07,39.492914,-90.342853,0,14
2019-08-03 19:18:32,503874407318,fraud_Zboncak LLC,food_dining,96.74,M,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,1975-12-28,28.730568,-98.146367,0,20
2019-04-07 19:17:52,213114122496591,fraud_Labadie LLC,personal_care,89.03,M,Minnesota Lake,MN,56068,43.8295,-93.8282,1087,Music tutor,1963-07-14,44.626197,-94.76455,0,20
2019-07-12 07:47:57,3597926034019603,"fraud_Kerluke, Considine and Macejkovic",misc_net,142.67,M,Oakland,TN,38060,35.2229,-89.5518,9496,Furniture conservator/restorer,1993-03-23,35.172965000000005,-89.418964,0,8
2019-12-21 11:16:03,676369110710,"fraud_Osinski, Ledner and Leuschke",grocery_pos,48.64,M,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,42.752692,-82.850452,0,12
2019-12-04 18:03:49,4092452671396169678,fraud_Altenwerth-Kilback,home,44.29,M,Bolton,NC,28423,34.3091,-78.3372,2290,"Engineer, biomedical",1945-12-07,33.974386,-79.07871999999999,0,19
2020-06-11 03:43:33,3592931352252641,"fraud_Bahringer, Schoen and Corkery",shopping_pos,4.53,M,Afton,MN,55001,44.8696,-92.8234,2916,Barrister's clerk,1935-06-29,44.686602,-93.002447,0,4
2019-12-15 00:04:28,343819048608995,fraud_Schmidt and Sons,shopping_net,33.09,F,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,41.631484,-94.547093,0,1
2020-04-30 20:43:00,4904681492230012,fraud_Brown Inc,kids_pets,102.86,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19,41.625892,-73.956321,0,21
2019-07-23 15:59:23,342952484382519,"fraud_Lowe, Dietrich and Erdman",kids_pets,104.63,F,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,42.97738,-74.22019399999999,0,16
2019-11-19 22:22:16,4560004149983868183,"fraud_Romaguera, Wehner and Tromp",kids_pets,165.16,F,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09,39.31608,-104.38223,0,23
2019-07-23 14:58:15,5104807169438134,fraud_Friesen-Ortiz,personal_care,10.54,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08,40.376206,-73.09246999999999,0,15
2019-10-05 06:04:37,4800395067176717,"fraud_Olson, Becker and Koch",gas_transport,63.91,M,Howells,NE,68641,41.6964,-96.9858,1063,Research scientist (maths),1928-04-02,42.19447,-96.439288,0,7
2020-06-13 23:54:18,6538891242532018,fraud_Thompson-Gleason,health_fitness,198.41,F,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,37.001245,-90.844071,0,24
2019-04-05 03:35:16,213175487106448,fraud_Bernhard Inc,gas_transport,80.67,F,Rule,TX,79548,33.0771,-99.959,932,"Physicist, medical",1954-12-10,32.510492,-100.93061,0,4
2019-08-26 00:33:36,4980323467523543940,fraud_Buckridge PLC,misc_pos,2.55,M,North Haverhill,NH,3774,44.0978,-72.0191,1966,Structural engineer,1947-10-27,44.511677,-71.88245400000001,0,1
2019-09-22 19:43:40,4584931703207308232,fraud_Volkman-Predovic,shopping_net,5.83,F,Dallas,TX,75218,32.8463,-96.6972,1263321,"Designer, ceramics/pottery",1975-04-16,32.336890999999994,-97.508209,0,20
2020-04-18 14:38:23,5359543825610251,fraud_Schumm PLC,shopping_net,2.41,M,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,45.38024,-111.93409,0,15
2019-12-05 13:17:21,4585132874641,"fraud_Hauck, Dietrich and Funk",kids_pets,32.35,F,Utica,MO,64686,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,39.518077000000005,-93.433898,0,14
2020-01-05 19:14:25,4640395708703,fraud_Dibbert-Green,entertainment,89.41,F,Fordoche,LA,70732,30.6576,-91.6264,1178,Community education officer,1951-06-13,30.764279,-91.75777,0,20
2019-11-09 11:31:36,3567697931646329,fraud_Parisian and Sons,gas_transport,70.94,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29,41.931215,-74.095239,0,12
2020-04-17 02:37:22,6011504998544485,fraud_Erdman-Kertzmann,gas_transport,58.75,F,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,1971-11-02,32.65661,-86.482241,0,3
2019-07-29 07:21:00,373905417449658,fraud_Schmitt Inc,gas_transport,60.74,F,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,1970-11-12,32.918269,-98.221939,0,8
2019-12-09 22:00:12,4900628639996,fraud_Stamm-Rodriguez,misc_pos,5.98,M,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,1973-09-22,34.605066,-118.886696,0,23
2019-06-28 22:34:57,4191109180926792,fraud_Waelchi Inc,kids_pets,4.45,F,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,40.108801,-83.588963,0,23
2019-01-27 01:35:12,3501942333500073,fraud_Friesen-D'Amore,gas_transport,74.36,F,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1999-11-30,32.874647,-111.527639,0,2
2019-03-22 21:32:43,38057513087029,fraud_Abbott-Steuber,personal_care,6.69,F,San Jose,CA,95148,37.3304,-121.7913,973849,Geoscientist,1997-01-18,36.437838,-121.695643,0,22
2019-10-13 22:45:37,4997733566924489,"fraud_Fadel, Mertz and Rippin",entertainment,63.88,F,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1971-08-06,44.417098,-92.77574,0,23
2019-12-28 22:39:01,2356276337669917,fraud_Emmerich-Rau,personal_care,30.15,M,Chester,MD,21619,38.9583,-76.2842,5848,Paediatric nurse,1981-02-15,38.227294,-76.781022,0,23
2019-03-11 22:23:47,30092964733035,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,23.0,F,Maysville,KY,41056,38.6207,-83.8067,14228,Advertising account executive,1971-03-26,38.838526,-84.1815,0,23
